WGS84_1;WGS84_2;LV95_1;LV95_2
7.270192716;47.12439089;2587219;1219281
7.274619656;47.12474813;2587555;1219320
7.27015019;47.12533528;2587216;1219386
7.289892189;47.12534472;2588714;1219384
7.270397943;47.12617217;2587235;1219479
7.270001887;47.12638747;2587205;1219503
7.27190126;47.12588654;2587349;1219447
7.273041876;47.12356752;2587435;1219189
7.279463272;47.12240732;2587922;1219059
7.278569134;47.12174944;2587854;1218986
7.275997749;47.1222945;2587659;1219047
7.286021008;47.12415228;2588420;1219252
7.268844363;47.12568415;2587117;1219425
7.280384083;47.12296628;2587992;1219121
7.262657748;47.11942334;2586646;1218730
7.266858697;47.12433195;2586966;1219275
7.269939585;47.12525402;2587200;1219377
7.267264482;47.12518707;2586997;1219370
7.276591148;47.12216941;2587704;1219033
7.280559518;47.12601579;2588006;1219460
7.283672443;47.12510258;2588242;1219358
7.276939329;47.12467948;2587731;1219312
7.284897345;47.12535609;2588335;1219386
7.276151794;47.12363495;2587671;1219196
7.27751813;47.1250311;2587775;1219351
7.270638005;47.12109941;2587252;1218915
7.286416829;47.12399091;2588450;1219234
7.277586693;47.12414969;2587780;1219253
7.280687103;47.12299369;2588015;1219124
7.265726037;47.12411437;2586880;1219251
7.270820014;47.12606486;2587267;1219467
7.277091711;47.12657761;2587743;1219523
7.277646702;47.12173915;2587784;1218985
7.274610636;47.12339888;2587554;1219170
7.264391498;47.12518273;2586779;1219370
7.270417663;47.12410338;2587236;1219249
7.265262063;47.12495019;2586845;1219344
7.282944712;47.12609102;2588187;1219468
7.28083057;47.1234976;2588026;1219180
7.269163952;47.12465021;2587141;1219310
7.269800868;47.12328394;2587189;1219158
7.265554716;47.12411411;2586867;1219251
7.275264336;47.12509985;2587604;1219359
7.275811439;47.12288789;2587645;1219113
7.273937091;47.12386565;2587503;1219222
7.278701328;47.12599521;2587865;1219458
7.26994477;47.11946132;2587199;1218733
7.265329685;47.12441959;2586850;1219285
7.267218137;47.1273008;2586994;1219605
7.276125509;47.12792547;2587670;1219673
7.271017246;47.12620906;2587282;1219483
7.283491141;47.12400496;2588228;1219236
7.272988715;47.12371136;2587431;1219205
7.266611829;47.12731788;2586948;1219607
7.270740713;47.1261367;2587261;1219475
7.284739537;47.12523894;2588323;1219373
7.274806817;47.12388489;2587569;1219224
7.285965015;47.12529456;2588416;1219379
7.269661087;47.1258023;2587179;1219438
7.277591403;47.12259359;2587780;1219080
7.286942919;47.1243604;2588490;1219275
7.279998774;47.12401815;2587963;1219238
7.266199154;47.12451985;2586916;1219296
7.278640248;47.12439404;2587860;1219280
7.289287805;47.1246873;2588668;1219311
7.280659945;47.12326349;2588013;1219154
7.288932031;47.12466885;2588641;1219309
7.285598905;47.12428664;2588388;1219267
7.25845236;47.11994749;2586327;1218789
7.284886194;47.12465447;2588334;1219308
7.275695892;47.1218893;2587636;1219002
7.267527133;47.1254753;2587017;1219402
7.269649583;47.12112494;2587177;1218918
7.267010894;47.12617613;2586978;1219480
7.276137901;47.1238688;2587670;1219222
7.266128275;47.12605787;2586911;1219467
7.285804826;47.12600494;2588404;1219458
7.279701751;47.12639238;2587941;1219502
7.265497027;47.12564315;2586863;1219421
7.276607997;47.12096412;2587705;1218899
7.274833506;47.12377699;2587571;1219212
7.268135697;47.12474763;2587063;1219321
7.277789647;47.12240497;2587795;1219059
7.271097001;47.1259933;2587288;1219459
7.279120413;47.12687729;2587897;1219556
7.275314255;47.12171785;2587607;1218983
7.280801091;47.12454996;2588024;1219297
7.277810157;47.1243389;2587797;1219274
7.269924096;47.12598258;2587199;1219458
7.276722519;47.12230452;2587714;1219048
7.274115026;47.1259887;2587517;1219458
7.284855598;47.1261206;2588332;1219471
7.280193452;47.12502584;2587978;1219350
7.270355866;47.12280803;2587231;1219105
7.283054355;47.12465199;2588195;1219308
7.277434791;47.12208965;2587768;1219024
7.286307768;47.12525904;2588442;1219375
7.283227675;47.12396862;2588208;1219232
7.268268319;47.12448697;2587073;1219292
