;Unnamed: 0;ADR_EGAID;STR_ESID;BDG_EGID;ADR_EDID;STN_LABEL;ADR_NUMBER;BDG_CATEGORY;BDG_NAME;ZIP_LABEL;COM_FOSNR;COM_CANTON;ADR_STATUS;ADR_OFFICIAL;ADR_VALID;ADR_MODIFIED;ADR_EASTING;ADR_NORTHING;building_id;dach0_featureId;dach0_flaeche;dach0_gstrahlung;dach0_eignung;dach0_stromertrag;dach1_featureId;dach1_flaeche;dach1_gstrahlung;dach1_eignung;dach1_stromertrag;dach2_featureId;dach2_flaeche;dach2_gstrahlung;dach2_eignung;dach2_stromertrag;dach3_featureId;dach3_flaeche;dach3_gstrahlung;dach3_eignung;dach3_stromertrag;dach4_featureId;dach4_flaeche;dach4_gstrahlung;dach4_eignung;dach4_stromertrag;dach5_featureId;dach5_flaeche;dach5_gstrahlung;dach5_eignung;dach5_stromertrag;dach6_featureId;dach6_flaeche;dach6_gstrahlung;dach6_eignung;dach6_stromertrag;dach7_featureId;dach7_flaeche;dach7_gstrahlung;dach7_eignung;dach7_stromertrag;dach8_featureId;dach8_flaeche;dach8_gstrahlung;dach8_eignung;dach8_stromertrag;dach9_featureId;dach9_flaeche;dach9_gstrahlung;dach9_eignung;dach9_stromertrag;dach10_featureId;dach10_flaeche;dach10_gstrahlung;dach10_eignung;dach10_stromertrag;dach11_featureId;dach11_flaeche;dach11_gstrahlung;dach11_eignung;dach11_stromertrag;dach12_featureId;dach12_flaeche;dach12_gstrahlung;dach12_eignung;dach12_stromertrag;dach13_featureId;dach13_flaeche;dach13_gstrahlung;dach13_eignung;dach13_stromertrag;dach14_featureId;dach14_flaeche;dach14_gstrahlung;dach14_eignung;dach14_stromertrag;dach15_featureId;dach15_flaeche;dach15_gstrahlung;dach15_eignung;dach15_stromertrag;dach16_featureId;dach16_flaeche;dach16_gstrahlung;dach16_eignung;dach16_stromertrag;dach17_featureId;dach17_flaeche;dach17_gstrahlung;dach17_eignung;dach17_stromertrag;dach18_featureId;dach18_flaeche;dach18_gstrahlung;dach18_eignung;dach18_stromertrag;dach19_featureId;dach19_flaeche;dach19_gstrahlung;dach19_eignung;dach19_stromertrag;dach20_featureId;dach20_flaeche;dach20_gstrahlung;dach20_eignung;dach20_stromertrag;dach21_featureId;dach21_flaeche;dach21_gstrahlung;dach21_eignung;dach21_stromertrag;dach22_featureId;dach22_flaeche;dach22_gstrahlung;dach22_eignung;dach22_stromertrag;dach23_featureId;dach23_flaeche;dach23_gstrahlung;dach23_eignung;dach23_stromertrag;dach24_featureId;dach24_flaeche;dach24_gstrahlung;dach24_eignung;dach24_stromertrag
302;131542;101958583;10086636;3069444;0;Burgersriedstrasse;31;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2586742;1219309;1314899;13461252;163.5896675;151320;Mittel##Moyenne##Media##Mean##Mittel;20580;13461251;164.1344008;154615;Mittel##Moyenne##Media##Mean##Mittel;21028;13461253;127.3468864;183889;Top##Top##Top##Top##Top;25009;13461250;123.6936357;176882;Top##Top##Top##Top##Top;24056;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;132055;101954971;10010249;1383166;0;Erlenstrasse;10;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587569;1218766;871514;13455904;98.00156891;74383;Gering##Faible##Bassa##Low##Gering;10116;13455903;549.5463652;687483;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;93498;13455905;37.09608585;35278;Mittel##Moyenne##Media##Mean##Mittel;4798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
304;132305;102210528;10010253;1383318;0;Haldenstrasse;23;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2586920;1219320;2001419;13461311;19.30727369;22377;Gut##Bonne##Buona##Good##Gut;3043;13461315;35.67915714;34288;Mittel##Moyenne##Media##Mean##Mittel;4663;13461316;30.25232639;35365;Gut##Bonne##Buona##Good##Gut;4810;13461317;44.35955036;63612;Top##Top##Top##Top##Top;8651;13461310;57.52336971;71214;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;9685;13461313;8.38066388;9780;Gut##Bonne##Buona##Good##Gut;1330;13461312;29.43473593;27345;Mittel##Moyenne##Media##Mean##Mittel;3719;13461314;19.57718423;27584;Top##Top##Top##Top##Top;3751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
305;132418;100849942;10010249;1383972;0;Erlenstrasse;36;non_residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587160;1218724;1791912;13453411;801.9164793;923006;Gut##Bonne##Buona##Good##Gut;125529;13453412;366.7183196;461332;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;62741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
306;132535;100866456;10010246;1383428;0;Bielstrasse;38;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587302;1219341;2977346;13461995;48.50370161;48261;Mittel##Moyenne##Media##Mean##Mittel;6563;13461998;29.25607405;22878;Gering##Faible##Bassa##Low##Gering;3111;13461996;29.28050509;41666;Top##Top##Top##Top##Top;5667;13461997;48.65790936;62379;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;8484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
307;133506;100848533;10086640;1383649;0;Orpundstrasse;10;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2588280;1219204;1634533;13459518;53.13454182;67853;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;9228;13459517;49.80478804;56080;Gut##Bonne##Buona##Good##Gut;7627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
308;133644;101945250;10010264;1383538;0;Rosenweg;7;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587733;1219618;434852;13466133;69.25843335;29781;Gering##Faible##Bassa##Low##Gering;4050;13466134;121.9115605;171164;Top##Top##Top##Top##Top;23278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
309;134454;101970698;10130222;1383257;0;Aarestrasse;8;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587876;1219074;886512;13459021;219.0342515;176542;Mittel##Moyenne##Media##Mean##Mittel;24010;13459022;287.5786774;414688;Top##Top##Top##Top##Top;56398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
310;134666;101954166;10010246;1383408;0;Bielstrasse;61;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587310;1219302;2585808;13461943;66.37485341;65313;Mittel##Moyenne##Media##Mean##Mittel;8883;13461946;63.40844129;89913;Top##Top##Top##Top##Top;12228;13461945;60.85510425;60977;Gut##Bonne##Buona##Good##Gut;8293;13461941;183.2409723;181592;Mittel##Moyenne##Media##Mean##Mittel;24697;13461944;74.6546792;106756;Top##Top##Top##Top##Top;14519;13461942;210.8221352;301265;Top##Top##Top##Top##Top;40972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
311;134713;100869146;10010247;1383546;0;Brachmattstrasse;1;residential;;2555 Brügg BE;733;BE;real;TRUE;TRUE;24.07.2021;2587756;1219443;2565543;13462086;306.1061655;324473;Gut##Bonne##Buona##Good##Gut;44128;13462087;304.3078372;405947;Sehr gut##Trés bonne##Molto buona##Very good##Sehr gut;55209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
