,ADR_EGAID,STR_ESID,BDG_EGID,ADR_EDID,STN_LABEL,ADR_NUMBER,BDG_CATEGORY,BDG_NAME,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_VALID,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
2506263,102883769,10010246,504032460,0,Bielstrasse,8a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587778,1219382
2506293,102883896,10010249,504032440,0,Erlenstrasse,10a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587559,1218763
2506295,102883639,10109854,504032340,0,Mettgasse,16,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588178,1219424
2506297,102883683,10010259,504032329,0,Mühleweg,1f,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588859,1219416
2506307,102883889,10057929,504032452,0,Bärletweg,10a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587696,1219513
2506319,102883752,10010246,504032462,0,Bielstrasse,77a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586887,1219228
2506328,102883631,10010246,504032490,0,Bielstrasse,1b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587852,1219254
2506336,102883738,10010253,504032392,0,Haldenstrasse,20b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586848,1219307
2506338,102883751,10010253,504032389,0,Haldenstrasse,26a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586958,1219305
2506365,102883822,10112480,504032375,0,Hauptstrasse,7b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588117,1219159
2506370,102883812,10219088,504032215,0,Schleusenstrasse,99,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586073,1218758
2506375,102883719,10010260,504032320,0,Neubrückstrasse,24a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587822,1218942
2506440,102883664,10010250,504032406,0,Friedhofweg,13a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587676,1219130
2599711,102894533,10251564,191919588,0,Eichenweg,11,residential,,2555 Brügg BE,733,BE,planned,False,True,25.06.2021,2586793,1219481
2599716,102894508,10251564,191919563,0,Eichenweg,3,residential,,2555 Brügg BE,733,BE,planned,False,True,25.06.2021,2586763,1219446
2603286,102894509,10251564,191919564,0,Eichenweg,1,residential,,2555 Brügg BE,733,BE,planned,False,False,23.02.2022,2586747,1219462
2603291,102894506,10251564,191919561,0,Eichenweg,7,residential,,2555 Brügg BE,733,BE,planned,False,False,23.02.2022,2586779,1219463
2603294,102894534,10251564,191919589,0,Eichenweg,15,residential,,2555 Brügg BE,733,BE,planned,False,True,25.06.2021,2586817,1219515
2603298,102894507,10251564,191919562,0,Eichenweg,5,residential,,2555 Brügg BE,733,BE,planned,False,True,25.06.2021,2586765,1219477
2603300,102894532,10251564,191919587,0,Eichenweg,13,residential,,2555 Brügg BE,733,BE,planned,False,False,23.02.2022,2586803,1219503
2603301,102894531,10251564,191919586,0,Eichenweg,9,residential,,2555 Brügg BE,733,BE,planned,False,True,25.06.2021,2586785,1219489
2605274,102894471,10010246,191919526,0,Bielstrasse,88,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586680,1219390
2683503,102607772,10010253,191865307,0,Haldenstrasse,37,residential,,2555 Brügg BE,733,BE,planned,False,True,15.01.2022,2587086,1219367
2687977,102631660,10109855,191883516,0,Wasserstrasse,3,non_residential,,2555 Brügg BE,733,BE,real,True,True,06.11.2021,2587246,1218817
2740499,102883761,10010263,504032234,0,Rainstrasse,3a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587338,1219403
2754491,103072508,10057933,191956854,0,Portstrasse,50f,non_residential,,2555 Brügg BE,733,BE,planned,False,True,04.08.2021,2586225,1218950
2765343,103081682,10010263,191956826,1,Rainstrasse,8,residential,,2555 Brügg BE,733,BE,planned,False,False,31.08.2021,2587335,1219475
2808268,103125596,10010253,191961619,0,Haldenstrasse,37a,special,,2555 Brügg BE,733,BE,planned,False,True,09.10.2021,2587075,1219337
2808275,103125588,10057929,191961612,0,Bärletweg,22a,special,,2555 Brügg BE,733,BE,planned,False,True,09.10.2021,2587629,1219575
2822700,103120622,10086638,191961227,0,Klosterstrasse,1,residential,,2555 Brügg BE,733,BE,planned,False,True,28.09.2021,2588389,1219540
2823230,103120625,10086638,191961230,0,Klosterstrasse,1b,special,,2555 Brügg BE,733,BE,planned,False,True,17.02.2022,2588381,1219527
2823237,103125586,10010263,191961610,0,Rainstrasse,6a,non_residential,,2555 Brügg BE,733,BE,real,False,True,09.10.2021,2587337,1219455
2823239,103120618,10086638,191961223,0,Klosterstrasse,3a,residential,,2555 Brügg BE,733,BE,planned,False,True,28.09.2021,2588396,1219517
2823242,103120623,10086638,191961228,0,Klosterstrasse,5a,residential,,2555 Brügg BE,733,BE,planned,False,True,17.02.2022,2588436,1219499
2823757,103120621,10086638,191961226,0,Klosterstrasse,3,residential,,2555 Brügg BE,733,BE,planned,False,True,28.09.2021,2588385,1219501
2823758,103120620,10086638,191961225,0,Klosterstrasse,5,residential,,2555 Brügg BE,733,BE,planned,False,True,28.09.2021,2588416,1219490
2823759,103120619,10086638,191961224,0,Klosterstrasse,1a,residential,,2555 Brügg BE,733,BE,planned,False,True,17.02.2022,2588408,1219550
2850351,103165376,10086637,191965251,0,Hofmatt,9a,non_residential,,2555 Brügg BE,733,BE,real,False,True,06.11.2021,2588332,1219385
2927526,103228513,10057931,191972670,0,Kanalweg,14b,non_residential,,2555 Brügg BE,733,BE,planned,False,True,17.02.2022,2588081,1219086
2930610,102168264,10057933,191469150,0,Portstrasse,44a,non_residential,,2555 Brügg BE,733,BE,real,False,False,05.02.2022,2586233,1219056
