,ADR_EGAID,STR_ESID,BDG_EGID,ADR_EDID,STN_LABEL,ADR_NUMBER,BDG_CATEGORY,BDG_NAME,ZIP_LABEL,COM_FOSNR,COM_CANTON,ADR_STATUS,ADR_OFFICIAL,ADR_VALID,ADR_MODIFIED,ADR_EASTING,ADR_NORTHING
2503183,102883839,10180446,504032209,0,Tulpenweg,3b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587129,1219358
2503190,102883693,10010246,504032476,0,Bielstrasse,53a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587365,1219304
2503195,102883605,10057932,504032149,0,Mattenstrasse,10a,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587754,1219293
2503212,102883570,10010249,504032428,0,Erlenstrasse,40b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586994,1218698
2503226,102883700,10136413,504032245,0,Poststrasse,3a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588047,1219115
2503259,102883878,10086640,504032281,0,Orpundstrasse,6a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588254,1219189
2503278,102883913,10057931,504032355,0,Kanalweg,30a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587950,1219007
2503292,102883911,10010249,504032437,0,Erlenstrasse,12,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587506,1218752
2503293,102883704,10136413,504032244,0,Poststrasse,8a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587967,1219167
2503297,102883817,10104746,504032306,0,Obergasse,4b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588149,1219356
2503299,102883638,10010246,504032488,0,Bielstrasse,25a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587631,1219379
2503454,102883737,10010263,504032238,0,Rainstrasse,22b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587237,1219461
2503456,102883807,10112480,504032378,0,Hauptstrasse,3a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588205,1219143
2503485,102883632,10057933,504032255,0,Portstrasse,50,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586202,1218946
2503494,102883749,10010263,504032237,0,Rainstrasse,2a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587416,1219408
2503510,102883914,10086643,504032202,0,Waldeckstrasse,6a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586997,1219498
2503511,102883830,10104746,504032303,0,Obergasse,9a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588066,1219268
2503512,102883716,10010246,504032470,0,Bielstrasse,6,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587837,1219322
2503519,102883552,10175297,504032348,0,Längholz,3,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587277,1219827
2503528,102883736,10104746,504032316,0,Obergasse,15a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588002,1219280
2503553,102883711,10010260,504032322,0,Neubrückstrasse,19a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587758,1218865
2503579,102883535,10242606,504032186,0,A5,51,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586580,1219185
2503583,102883876,10112479,504032444,0,Chaletweg,5b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587177,1219376
2503616,102883658,10010246,504032484,0,Bielstrasse,39a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587531,1219339
2503623,102883540,10010261,504032265,0,Pfeidstrasse,4f,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587809,1219161
2503635,102883804,10010247,504032457,0,Brachmattstrasse,5a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587723,1219474
2503684,102883618,10010249,504032417,0,Erlenstrasse,44a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586805,1218707
2503693,102883877,10086636,504032170,0,Burgersriedstrasse,2b,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587116,1219450
2503714,102883891,10010254,504032361,0,Industriestrasse,8a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587509,1219189
2503723,102883530,10010249,504032164,0,Erlenstrasse,23d,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586900,1218665
2503724,102883544,10175297,504032350,0,Längholz,1,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587460,1220522
2503725,102883624,10057933,504032257,0,Portstrasse,46,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586238,1218875
2503752,102883590,10010249,504032424,0,Erlenstrasse,41b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586411,1218775
2503755,102883663,10109854,504032335,0,Mettgasse,9a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588151,1219451
2503769,102883792,10086642,504032220,0,Römerstrasse,3a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587556,1218884
2503790,102883728,10010246,504032467,0,Bielstrasse,63a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587242,1219276
2503796,102883852,10086640,504032287,0,Orpundstrasse,30b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588618,1219322
2503816,102883805,10219088,504032217,0,Schleusenstrasse,40a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586315,1218710
2503972,102883887,10086640,504032143,0,Orpundstrasse,7b,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588283,1219225
2504004,102706822,10010263,191896298,0,Rainstrasse,21b,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587163,1219435
2504057,102883824,10086636,504032454,0,Burgersriedstrasse,29a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586771,1219318
2504067,102883756,10010263,504032235,0,Rainstrasse,30b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587119,1219518
2504082,102712136,10057933,191896833,0,Portstrasse,38b,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586394,1219080
2504097,102883779,10010247,504032175,0,Brachmattstrasse,12a,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587878,1219552
2504105,102883764,10010246,504032177,0,Bielstrasse,78e,special,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586866,1219273
2504121,102883541,10130222,504032513,0,Aarestrasse,10a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587908,1219095
2504148,102883849,10086640,504032298,0,Orpundstrasse,13e,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2588361,1219294
2504209,102883898,10112481,504032277,0,Pfeideck,1,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587581,1218980
2504237,102883782,10086642,504032222,0,Römerstrasse,15a,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2586591,1218937
2504245,102883897,10057929,504032450,0,Bärletweg,13,non_residential,,2555 Brügg BE,733,BE,real,True,True,24.07.2021,2587542,1219482
