Addresse;PLZ;Postleitzahl;Anzahl ;Wohnfläche in m²;Preis in CHF;Preis pro m²;Ganze Adresse;Longitude;Latitude
Blumenfeldstrasse 37;8046;Zürich;3,5;83;2630;31,69;Blumenfeldstrasse 37 8046;8.503615379333496;47.4232292175293
ROTBUCHSTRASSE 1;8006;Zürich;1,5;;2300;;ROTBUCHSTRASSE 1 8006;8.538302421569824;47.39115905761719
Birmensdorferstrasse 543;8055;Zürich;2,5;38;2190;57,63;Birmensdorferstrasse 543 8055;8.492274284362793;47.366737365722656
Buckhauserstrasse 16;8048;Zürich;2;40;2450;61,25;Buckhauserstrasse 16 8048;8.492745399475098;47.385711669921875
Vulkanstrasse 110;8048;Zürich;1,5;44;3000;68,18;Vulkanstrasse 110 8048;8.484014511108398;47.39374923706055
Bernerstrasse Nord 226;8064;Zürich;2,5;45;2000;44,44;Bernerstrasse Nord 226 8064;8.482094764709473;47.39645004272461
Hohlstrasse 413;8048;Zürich;2;34;2390;70,29;Hohlstrasse 413 8048;8.503179550170898;47.38640594482422
Regensbergstrasse 38;8050;Zürich;3;;2000;;Regensbergstrasse 38 8050;8.553572654724121;47.40496826171875
Rolandstr. 17;8004;Zürich;1;;650;;Rolandstr. 17 8004;8.526222229003906;47.37919235229492
Baslerstrasse 110;8048;Zürich;1;;1200;;Baslerstrasse 110 8048;8.492114067077637;47.38801956176758
