postal_code,Gde-Nr.,PLZ,Gemeinde,global_rad_10y_mean:W
postal_CH6284,1030,6284,Hitzkirch,194.62787794729547
postal_CH6043,1051,6043,Adligenswil,195.46546463245514
postal_CH6212,1089,6212,Knutwil,193.7001386962553
postal_CH6033,1052,6033,Buchrain,194.23550624133148
postal_CH3618,946,3618,Wachseldorn,196.12482662968105
postal_CH3273,305,3273,Kappelen,195.5532593619974
postal_CH2565,738,2565,Jens,194.52135922330083
postal_CH3636,948,3636,Forst-Längenbühl,192.8198335644936
postal_CH3095,355,3095,Köniz,197.06047156726777
postal_CH3504,617,3504,Niederhünigen,194.38585298196938
postal_CH4243,2784,4243,Dittingen,187.46380027739247
postal_CH2745,694,2745,Grandval,189.82316227461865
postal_CH1927,6037,1927,Val de Bagnes,206.8153952843273
postal_CH7220,3962,7220,Schiers,192.8361997226075
postal_CH4633,2491,4633,Hauenstein-Ifenthal,191.96296809986137
postal_CH1907,6141,1907,Saxon,204.73564493758656
postal_CH8707,159,8707,Uetikon am See,196.04091539528432
postal_CH8706,156,8706,Meilen,195.88210818307903
postal_CH5213,4122,5213,Villnachern,192.60748959778098
postal_CH5200,4095,5200,Brugg,192.72330097087362
postal_CH5212,4100,5212,Hausen (AG),192.8973647711511
postal_CH3255,310,3255,Rapperswil (BE),196.03079056865474
postal_CH3816,586,3816,Lütschental,198.96532593619978
postal_CH5078,4096,5078,Effingen,191.78723994452142
postal_CH5330,4323,5330,Bad Zurzach,191.7300970873787
postal_CH5727,4140,5727,Oberkulm,189.9539528432731
postal_CH5616,4202,5616,Meisterschwanden,195.82981969486838
postal_CH3464,959,3464,Walterswil (BE),195.36282940360616
postal_CH6517,5001,6517,Arbedo-Castione,186.54410540915381
postal_CH3303,540,3303,Jegenstorf,195.2837725381414
postal_CH3718,565,3718,Kandersteg,200.85353675450762
postal_CH1588,5456,1588,Cudrefin,197.34674063800279
postal_CH1643,2122,1643,Pont-en-Ogoz,200.40651872399434
postal_CH1724,2194,1724,Ferpicloz,198.6223300970873
postal_CH3178,2295,3178,Bösingen,201.23730929264912
postal_CH1689,2067,1689,Le Châtelard,200.71914008321784
postal_CH1474,2055,1474,Cheyres-Châbles,197.93841886269055
postal_CH1615,2323,1615,Bossonnens,200.17281553398064
postal_CH2074,6461,2074,La Tène,195.07531206657438
postal_CH1541,2043,1541,Sévaz,198.94008321775306
postal_CH6402,1331,6402,Küssnacht (SZ),195.87475728155337
postal_CH4932,331,4932,Lotzwil,194.7220527045769
postal_CH8858,1343,8858,Innerthal,184.43980582524267
postal_CH4563,2519,4563,Gerlafingen,194.21595006934825
postal_CH1638,2143,1638,Morlon,197.52940360610253
postal_CH1302,5503,1302,Vufflens-la-Ville,201.64063800277393
postal_CH1464,5908,1464,Chêne-Pâquier,199.11608876560334
postal_CH1522,5675,1522,Lucens,200.89833564493745
postal_CH1854,5407,1854,Leysin,202.19181692094307
postal_CH1872,6156,1872,Troistorrents,199.36061026352291
postal_CH1682,5671,1682,Dompierre (VD),201.37115117891827
postal_CH1034,5473,1034,Boussens,201.39528432732325
postal_CH1184,5863,1184,Vinzel,200.1090152565882
postal_CH1042,5513,1042,Bioley-Orjulaz,200.75312066574216
postal_CH1135,5631,1135,Denens,201.7773925104023
postal_CH6710,5281,6710,Biasca,180.20554785020792
postal_CH6775,5079,6775,Quinto,197.63522884882124
postal_CH6595,5113,6595,Locarno,190.21220527045764
postal_CH4566,2529,4566,Oekingen,194.319972260749
postal_CH7325,3293,7325,Mels,145.2778085991678
postal_CH3250,306,3250,Lyss,195.1941747572814
postal_CH3253,2461,3253,Schnottwil,195.4356449375866
postal_CH4418,2893,4418,Reigoldswil,190.66033287101246
postal_CH8806,1322,8806,Freienbach,195.03619972260736
postal_CH1211,6630,1211,Meyrin,203.29320388349527
postal_CH1287,6627,1287,Laconnex,201.5932038834951
postal_CH4500,2601,4500,Solothurn,194.56546463245473
postal_CH6422,1373,6422,Steinen,195.11872399445207
postal_CH6424,1365,6424,Lauerz,195.46477115117892
postal_CH5023,4002,5023,Biberstein,192.4961165048545
postal_CH5012,2574,5012,Eppenberg-Wöschnau,192.58834951456325
postal_CH4814,4273,4814,Bottenwil,193.42829403606106
postal_CH6930,5148,6930,Bedano,183.81622746185857
